alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.975428,0.995298,0.3252
1.0,0.0,0.1,0.01,0.01,0.975187,0.995485,0.329542
1.0,0.0,0.1,0.01,0.001,0.970426,0.995717,0.318872
1.0,0.0,0.1,0.01,0.0001,0.921901,0.991685,0.27369
1.0,0.0,0.1,0.001,0.1,0.972384,0.995596,0.324423
1.0,0.0,0.1,0.001,0.01,0.954702,0.994775,0.305067
1.0,0.0,0.1,0.001,0.001,0.856378,0.985405,0.243185
1.0,0.0,0.1,0.001,0.0001,0.879287,0.987022,0.240382
1.0,0.0,0.1,0.0001,0.1,0.615062,0.975148,0.081349
1.0,0.0,0.1,0.0001,0.01,0.897247,0.988752,0.270911
1.0,0.0,0.1,0.0001,0.001,0.670222,0.973335,0.097028
1.0,0.0,0.1,0.0001,0.0001,0.762573,0.982064,0.178723
1.0,0.0,1.0,0.01,0.1,0.975184,0.995579,0.330799
1.0,0.0,1.0,0.01,0.01,0.980582,0.995224,0.316375
1.0,0.0,1.0,0.01,0.001,0.886558,0.990004,0.266143
1.0,0.0,1.0,0.01,0.0001,0.924017,0.990016,0.278572
1.0,0.0,1.0,0.001,0.1,0.933809,0.993965,0.292433
1.0,0.0,1.0,0.001,0.01,0.863823,0.984934,0.238437
1.0,0.0,1.0,0.001,0.001,0.904844,0.98812,0.265043
1.0,0.0,1.0,0.001,0.0001,0.792152,0.984514,0.193403
1.0,0.0,1.0,0.0001,0.1,0.804896,0.982593,0.190573
1.0,0.0,1.0,0.0001,0.01,0.703625,0.977886,0.144409
1.0,0.0,1.0,0.0001,0.001,0.845852,0.985671,0.234944
1.0,0.0,1.0,0.0001,0.0001,0.829965,0.983399,0.224931
1.0,0.0,10.0,0.01,0.1,0.969635,0.995457,0.303154
1.0,0.0,10.0,0.01,0.01,0.916524,0.990082,0.276338
1.0,0.0,10.0,0.01,0.001,0.918487,0.990596,0.275839
1.0,0.0,10.0,0.01,0.0001,0.909127,0.990042,0.270807
1.0,0.0,10.0,0.001,0.1,0.829681,0.986949,0.21905
1.0,0.0,10.0,0.001,0.01,0.876645,0.986245,0.249448
1.0,0.0,10.0,0.001,0.001,0.904425,0.989463,0.266491
1.0,0.0,10.0,0.001,0.0001,0.891537,0.985829,0.247641
1.0,0.0,10.0,0.0001,0.1,0.866489,0.987024,0.232757
1.0,0.0,10.0,0.0001,0.01,0.705412,0.97768,0.135557
1.0,0.0,10.0,0.0001,0.001,0.666305,0.978178,0.119472
1.0,0.0,10.0,0.0001,0.0001,0.843071,0.984971,0.221956
1.0,0.1,0.0,0.01,0.1,0.977775,0.995844,0.332531
1.0,0.1,0.0,0.01,0.01,0.97366,0.996135,0.334294
1.0,0.1,0.0,0.01,0.001,0.978889,0.996337,0.332734
1.0,0.1,0.0,0.01,0.0001,0.978923,0.996326,0.33448
1.0,0.1,0.0,0.001,0.1,0.97456,0.996455,0.336313
1.0,0.1,0.0,0.001,0.01,0.975873,0.995978,0.330679
1.0,0.1,0.0,0.001,0.001,0.976001,0.996418,0.333535
1.0,0.1,0.0,0.001,0.0001,0.977396,0.996214,0.331402
1.0,0.1,0.0,0.0001,0.1,0.889771,0.992769,0.26344
1.0,0.1,0.0,0.0001,0.01,0.971825,0.995792,0.319502
1.0,0.1,0.0,0.0001,0.001,0.97233,0.996528,0.326488
1.0,0.1,0.0,0.0001,0.0001,0.946378,0.994212,0.306893
1.0,0.1,0.1,0.01,0.1,0.967791,0.993864,0.313243
1.0,0.1,0.1,0.01,0.01,0.977438,0.9963,0.33192
1.0,0.1,0.1,0.01,0.001,0.972919,0.996404,0.327304
1.0,0.1,0.1,0.01,0.0001,0.975613,0.996471,0.322267
1.0,0.1,0.1,0.001,0.1,0.975897,0.996241,0.333688
1.0,0.1,0.1,0.001,0.01,0.975627,0.996697,0.322484
1.0,0.1,0.1,0.001,0.001,0.96751,0.996259,0.315638
1.0,0.1,0.1,0.001,0.0001,0.977067,0.996099,0.318222
1.0,0.1,0.1,0.0001,0.1,0.672365,0.978521,0.108299
1.0,0.1,0.1,0.0001,0.01,0.963334,0.994561,0.306647
1.0,0.1,0.1,0.0001,0.001,0.859934,0.988533,0.237131
1.0,0.1,0.1,0.0001,0.0001,0.923968,0.991857,0.280988
1.0,0.1,1.0,0.01,0.1,0.982476,0.995625,0.331855
1.0,0.1,1.0,0.01,0.01,0.970609,0.996037,0.318657
1.0,0.1,1.0,0.01,0.001,0.93224,0.992603,0.283468
1.0,0.1,1.0,0.01,0.0001,0.940748,0.992574,0.288712
1.0,0.1,1.0,0.001,0.1,0.930966,0.991503,0.277227
1.0,0.1,1.0,0.001,0.01,0.876828,0.986984,0.249907
1.0,0.1,1.0,0.001,0.001,0.886672,0.987562,0.255932
1.0,0.1,1.0,0.001,0.0001,0.901749,0.988444,0.260647
1.0,0.1,1.0,0.0001,0.1,0.794505,0.982122,0.196882
1.0,0.1,1.0,0.0001,0.01,0.860897,0.987552,0.236544
1.0,0.1,1.0,0.0001,0.001,0.822244,0.980763,0.223335
1.0,0.1,1.0,0.0001,0.0001,0.847427,0.985638,0.227651
1.0,0.1,10.0,0.01,0.1,0.980751,0.996459,0.326266
1.0,0.1,10.0,0.01,0.01,0.928667,0.991733,0.284407
1.0,0.1,10.0,0.01,0.001,0.921025,0.99096,0.272075
1.0,0.1,10.0,0.01,0.0001,0.891783,0.987767,0.256235
1.0,0.1,10.0,0.001,0.1,0.844453,0.983216,0.230876
1.0,0.1,10.0,0.001,0.01,0.842632,0.983852,0.218758
1.0,0.1,10.0,0.001,0.001,0.915357,0.989572,0.272244
1.0,0.1,10.0,0.001,0.0001,0.886797,0.98721,0.247322
1.0,0.1,10.0,0.0001,0.1,0.711676,0.979107,0.145352
1.0,0.1,10.0,0.0001,0.01,0.816998,0.982803,0.199479
1.0,0.1,10.0,0.0001,0.001,0.700502,0.978949,0.13639
1.0,0.1,10.0,0.0001,0.0001,0.731904,0.977849,0.146189
1.0,1.0,0.0,0.01,0.1,0.976465,0.996238,0.331913
1.0,1.0,0.0,0.01,0.01,0.976475,0.996304,0.334549
1.0,1.0,0.0,0.01,0.001,0.979269,0.996365,0.332809
1.0,1.0,0.0,0.01,0.0001,0.977143,0.996221,0.333079
1.0,1.0,0.0,0.001,0.1,0.980668,0.996343,0.333209
1.0,1.0,0.0,0.001,0.01,0.976908,0.996834,0.337088
1.0,1.0,0.0,0.001,0.001,0.976638,0.996593,0.334716
1.0,1.0,0.0,0.001,0.0001,0.974384,0.996681,0.335019
1.0,1.0,0.0,0.0001,0.1,0.971807,0.996415,0.326188
1.0,1.0,0.0,0.0001,0.01,0.967479,0.995693,0.31272
1.0,1.0,0.0,0.0001,0.001,0.969356,0.996167,0.320727
1.0,1.0,0.0,0.0001,0.0001,0.973927,0.996783,0.326535
1.0,1.0,0.1,0.01,0.1,0.977929,0.995994,0.334066
1.0,1.0,0.1,0.01,0.01,0.976427,0.996375,0.334894
1.0,1.0,0.1,0.01,0.001,0.976717,0.99665,0.336124
1.0,1.0,0.1,0.01,0.0001,0.981496,0.996835,0.335889
1.0,1.0,0.1,0.001,0.1,0.970104,0.996514,0.331786
1.0,1.0,0.1,0.001,0.01,0.9742,0.996709,0.337652
1.0,1.0,0.1,0.001,0.001,0.978979,0.996207,0.332226
1.0,1.0,0.1,0.001,0.0001,0.977867,0.996621,0.331469
1.0,1.0,0.1,0.0001,0.1,0.956274,0.995832,0.31794
1.0,1.0,0.1,0.0001,0.01,0.970661,0.996251,0.319407
1.0,1.0,0.1,0.0001,0.001,0.975544,0.996689,0.327469
1.0,1.0,0.1,0.0001,0.0001,0.962711,0.995677,0.309768
1.0,1.0,1.0,0.01,0.1,0.976139,0.996064,0.333676
1.0,1.0,1.0,0.01,0.01,0.977548,0.996574,0.326552
1.0,1.0,1.0,0.01,0.001,0.974574,0.99657,0.323655
1.0,1.0,1.0,0.01,0.0001,0.973788,0.996229,0.319154
1.0,1.0,1.0,0.001,0.1,0.976333,0.996527,0.323565
1.0,1.0,1.0,0.001,0.01,0.973577,0.9962,0.31515
1.0,1.0,1.0,0.001,0.001,0.971298,0.996045,0.315897
1.0,1.0,1.0,0.001,0.0001,0.968868,0.996296,0.32013
1.0,1.0,1.0,0.0001,0.1,0.868369,0.989691,0.250981
1.0,1.0,1.0,0.0001,0.01,0.949304,0.994003,0.297982
1.0,1.0,1.0,0.0001,0.001,0.931267,0.993262,0.283159
1.0,1.0,1.0,0.0001,0.0001,0.889075,0.989888,0.26179
1.0,1.0,10.0,0.01,0.1,0.973175,0.995882,0.322799
1.0,1.0,10.0,0.01,0.01,0.938075,0.990761,0.283439
1.0,1.0,10.0,0.01,0.001,0.934692,0.990263,0.279501
1.0,1.0,10.0,0.01,0.0001,0.860159,0.985385,0.241642
1.0,1.0,10.0,0.001,0.1,0.867147,0.987903,0.24443
1.0,1.0,10.0,0.001,0.01,0.884526,0.989664,0.257373
1.0,1.0,10.0,0.001,0.001,0.842015,0.984902,0.230652
1.0,1.0,10.0,0.001,0.0001,0.926494,0.990518,0.279347
1.0,1.0,10.0,0.0001,0.1,0.767188,0.982687,0.171032
1.0,1.0,10.0,0.0001,0.01,0.845834,0.983967,0.227358
1.0,1.0,10.0,0.0001,0.001,0.825886,0.982984,0.20432
1.0,1.0,10.0,0.0001,0.0001,0.806001,0.983051,0.195623
1.0,10.0,0.0,0.01,0.1,0.97669,0.996364,0.334414
1.0,10.0,0.0,0.01,0.01,0.977448,0.996543,0.335972
1.0,10.0,0.0,0.01,0.001,0.981226,0.996034,0.334093
1.0,10.0,0.0,0.01,0.0001,0.978508,0.996378,0.333632
1.0,10.0,0.0,0.001,0.1,0.974491,0.996481,0.333688
1.0,10.0,0.0,0.001,0.01,0.975246,0.99662,0.335461
1.0,10.0,0.0,0.001,0.001,0.97312,0.996713,0.335704
1.0,10.0,0.0,0.001,0.0001,0.977877,0.996699,0.336222
1.0,10.0,0.0,0.0001,0.1,0.980204,0.996431,0.323114
1.0,10.0,0.0,0.0001,0.01,0.973972,0.996308,0.316955
1.0,10.0,0.0,0.0001,0.001,0.970364,0.996871,0.328202
1.0,10.0,0.0,0.0001,0.0001,0.970654,0.995296,0.312907
1.0,10.0,0.1,0.01,0.1,0.976153,0.996071,0.334563
1.0,10.0,0.1,0.01,0.01,0.978438,0.996506,0.336724
1.0,10.0,0.1,0.01,0.001,0.978445,0.996289,0.332165
1.0,10.0,0.1,0.01,0.0001,0.98036,0.99639,0.336102
1.0,10.0,0.1,0.001,0.1,0.97697,0.996742,0.335604
1.0,10.0,0.1,0.001,0.01,0.977064,0.996676,0.335384
1.0,10.0,0.1,0.001,0.001,0.976181,0.996645,0.334212
1.0,10.0,0.1,0.001,0.0001,0.979304,0.996289,0.33444
1.0,10.0,0.1,0.0001,0.1,0.96911,0.996377,0.325544
1.0,10.0,0.1,0.0001,0.01,0.974681,0.996544,0.323107
1.0,10.0,0.1,0.0001,0.001,0.967746,0.995358,0.31036
1.0,10.0,0.1,0.0001,0.0001,0.951032,0.99605,0.310184
1.0,10.0,1.0,0.01,0.1,0.972254,0.996404,0.3312
1.0,10.0,1.0,0.01,0.01,0.976714,0.996133,0.333154
1.0,10.0,1.0,0.01,0.001,0.976728,0.996311,0.334138
1.0,10.0,1.0,0.01,0.0001,0.979765,0.996294,0.332444
1.0,10.0,1.0,0.001,0.1,0.975256,0.996584,0.334631
1.0,10.0,1.0,0.001,0.01,0.973452,0.996528,0.33463
1.0,10.0,1.0,0.001,0.001,0.979335,0.996471,0.332944
1.0,10.0,1.0,0.001,0.0001,0.977012,0.996629,0.332675
1.0,10.0,1.0,0.0001,0.1,0.970592,0.995584,0.317741
1.0,10.0,1.0,0.0001,0.01,0.97213,0.996264,0.322097
1.0,10.0,1.0,0.0001,0.001,0.975506,0.996358,0.320382
1.0,10.0,1.0,0.0001,0.0001,0.972126,0.995818,0.321134
