alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.980064,0.996733,0.331409
1.0,0.0,0.1,0.01,0.01,0.982718,0.998342,0.349002
1.0,0.0,0.1,0.01,0.001,0.989713,0.997782,0.318029
1.0,0.0,0.1,0.01,0.0001,0.971105,0.994295,0.287386
1.0,0.0,0.1,0.001,0.1,0.983996,0.998541,0.346472
1.0,0.0,0.1,0.001,0.01,0.941655,0.992138,0.256997
1.0,0.0,0.1,0.001,0.001,0.936267,0.991045,0.262723
1.0,0.0,0.1,0.001,0.0001,0.88572,0.987509,0.231309
1.0,0.0,0.1,0.0001,0.1,0.660841,0.971801,0.100232
1.0,0.0,0.1,0.0001,0.01,0.859453,0.986759,0.1944
1.0,0.0,0.1,0.0001,0.001,0.77133,0.972957,0.150131
1.0,0.0,0.1,0.0001,0.0001,0.853127,0.984744,0.213284
1.0,0.0,1.0,0.01,0.1,0.985332,0.998562,0.353599
1.0,0.0,1.0,0.01,0.01,0.984401,0.996994,0.301646
1.0,0.0,1.0,0.01,0.001,0.936717,0.990539,0.263799
1.0,0.0,1.0,0.01,0.0001,0.959986,0.99387,0.278275
1.0,0.0,1.0,0.001,0.1,0.971285,0.994735,0.280838
1.0,0.0,1.0,0.001,0.01,0.840561,0.980662,0.199537
1.0,0.0,1.0,0.001,0.001,0.956298,0.99306,0.287216
1.0,0.0,1.0,0.001,0.0001,0.920419,0.991179,0.260893
1.0,0.0,1.0,0.0001,0.1,0.881593,0.984733,0.211824
1.0,0.0,1.0,0.0001,0.01,0.895473,0.98818,0.236162
1.0,0.0,1.0,0.0001,0.001,0.849422,0.984558,0.206929
1.0,0.0,1.0,0.0001,0.0001,0.721137,0.980657,0.125986
1.0,0.0,10.0,0.01,0.1,0.986659,0.998412,0.336827
1.0,0.0,10.0,0.01,0.01,0.952337,0.993195,0.289013
1.0,0.0,10.0,0.01,0.001,0.975987,0.994444,0.289488
1.0,0.0,10.0,0.01,0.0001,0.894069,0.988436,0.232576
1.0,0.0,10.0,0.001,0.1,0.849193,0.979832,0.202413
1.0,0.0,10.0,0.001,0.01,0.941001,0.991461,0.27696
1.0,0.0,10.0,0.001,0.001,0.915983,0.991083,0.252091
1.0,0.0,10.0,0.001,0.0001,0.958373,0.993263,0.275988
1.0,0.0,10.0,0.0001,0.1,0.843927,0.986368,0.202241
1.0,0.0,10.0,0.0001,0.01,0.902735,0.989624,0.229407
1.0,0.0,10.0,0.0001,0.001,0.903456,0.986231,0.23492
1.0,0.0,10.0,0.0001,0.0001,0.794856,0.979168,0.15686
1.0,0.1,0.0,0.01,0.1,0.988695,0.998638,0.354374
1.0,0.1,0.0,0.01,0.01,0.987233,0.998473,0.3522
1.0,0.1,0.0,0.01,0.001,0.990549,0.998559,0.35056
1.0,0.1,0.0,0.01,0.0001,0.988501,0.998989,0.352445
1.0,0.1,0.0,0.001,0.1,0.98768,0.999096,0.354208
1.0,0.1,0.0,0.001,0.01,0.986524,0.998928,0.351734
1.0,0.1,0.0,0.001,0.001,0.988172,0.998907,0.351286
1.0,0.1,0.0,0.001,0.0001,0.985235,0.998928,0.351748
1.0,0.1,0.0,0.0001,0.1,0.988411,0.998671,0.347342
1.0,0.1,0.0,0.0001,0.01,0.984307,0.998116,0.334662
1.0,0.1,0.0,0.0001,0.001,0.951247,0.996021,0.288937
1.0,0.1,0.0,0.0001,0.0001,0.987251,0.998125,0.326614
1.0,0.1,0.1,0.01,0.1,0.985315,0.998192,0.348716
1.0,0.1,0.1,0.01,0.01,0.987265,0.99851,0.35191
1.0,0.1,0.1,0.01,0.001,0.990485,0.998268,0.336004
1.0,0.1,0.1,0.01,0.0001,0.98598,0.998331,0.33359
1.0,0.1,0.1,0.001,0.1,0.987922,0.998496,0.337253
1.0,0.1,0.1,0.001,0.01,0.986873,0.999072,0.350759
1.0,0.1,0.1,0.001,0.001,0.988186,0.998075,0.328431
1.0,0.1,0.1,0.001,0.0001,0.986891,0.998164,0.330008
1.0,0.1,0.1,0.0001,0.1,0.783393,0.985564,0.19688
1.0,0.1,0.1,0.0001,0.01,0.987008,0.997645,0.326399
