alpha,l1,l2,lr,wd,AUC,nDCG,KT
1.0,0.0,0.1,0.01,0.1,0.685204,0.971217,0.573808
1.0,0.0,0.1,0.01,0.01,0.718892,0.974382,0.579975
1.0,0.0,0.1,0.01,0.001,0.748881,0.980672,0.600046
1.0,0.0,0.1,0.01,0.0001,0.636666,0.963048,0.458156
1.0,0.0,0.1,0.001,0.1,0.716563,0.973071,0.579184
1.0,0.0,0.1,0.001,0.01,0.734889,0.973984,0.561599
1.0,0.0,0.1,0.001,0.001,0.725719,0.970429,0.562069
1.0,0.0,0.1,0.001,0.0001,0.607,0.965516,0.527878
1.0,0.0,0.1,0.0001,0.1,0.664072,0.968561,0.511726
1.0,0.0,0.1,0.0001,0.01,0.649684,0.963272,0.443552
1.0,0.0,0.1,0.0001,0.001,0.653157,0.962788,0.42236
1.0,0.0,0.1,0.0001,0.0001,0.625652,0.971497,0.54421
1.0,0.0,1.0,0.01,0.1,0.719363,0.977224,0.597032
1.0,0.0,1.0,0.01,0.01,0.761791,0.979409,0.599006
1.0,0.0,1.0,0.01,0.001,0.70499,0.969546,0.556449
1.0,0.0,1.0,0.01,0.0001,0.687694,0.971594,0.551318
1.0,0.0,1.0,0.001,0.1,0.741942,0.97803,0.576366
1.0,0.0,1.0,0.001,0.01,0.739116,0.974419,0.581861
1.0,0.0,1.0,0.001,0.001,0.671505,0.965815,0.514817
1.0,0.0,1.0,0.001,0.0001,0.702047,0.976409,0.553941
1.0,0.0,1.0,0.0001,0.1,0.651541,0.965561,0.463077
1.0,0.0,1.0,0.0001,0.01,0.680374,0.972255,0.535996
1.0,0.0,1.0,0.0001,0.001,0.682101,0.968051,0.519432
1.0,0.0,1.0,0.0001,0.0001,0.640019,0.974437,0.57433
1.0,0.0,10.0,0.01,0.1,0.751121,0.976332,0.546459
1.0,0.0,10.0,0.01,0.01,0.692957,0.9742,0.535273
1.0,0.0,10.0,0.01,0.001,0.646908,0.972948,0.578697
1.0,0.0,10.0,0.01,0.0001,0.723573,0.976973,0.595529
1.0,0.0,10.0,0.001,0.1,0.676923,0.971025,0.562565
1.0,0.0,10.0,0.001,0.01,0.669565,0.974287,0.578662
1.0,0.0,10.0,0.001,0.001,0.701596,0.972907,0.535059
1.0,0.0,10.0,0.001,0.0001,0.694204,0.967387,0.50306
1.0,0.0,10.0,0.0001,0.1,0.653358,0.970003,0.515457
1.0,0.0,10.0,0.0001,0.01,0.64951,0.966253,0.502608
1.0,0.0,10.0,0.0001,0.001,0.632467,0.962817,0.481671
1.0,0.0,10.0,0.0001,0.0001,0.688803,0.973522,0.559848
1.0,0.1,0.0,0.01,0.1,0.693047,0.965621,0.4928
1.0,0.1,0.0,0.01,0.01,0.663396,0.968213,0.533752
1.0,0.1,0.0,0.01,0.001,0.710565,0.974659,0.568554
1.0,0.1,0.0,0.01,0.0001,0.707172,0.97689,0.596167
1.0,0.1,0.0,0.001,0.1,0.674512,0.971776,0.569781
1.0,0.1,0.0,0.001,0.01,0.693654,0.969706,0.528155
1.0,0.1,0.0,0.001,0.001,0.69398,0.971008,0.558216
1.0,0.1,0.0,0.001,0.0001,0.693538,0.970358,0.553705
1.0,0.1,0.0,0.0001,0.1,0.665065,0.965466,0.394614
1.0,0.1,0.0,0.0001,0.01,0.652835,0.966087,0.508323
1.0,0.1,0.0,0.0001,0.001,0.658843,0.968178,0.508364
1.0,0.1,0.0,0.0001,0.0001,0.675163,0.968135,0.514788
1.0,0.1,0.1,0.01,0.1,0.716823,0.971782,0.573542
1.0,0.1,0.1,0.01,0.01,0.727451,0.972999,0.578959
1.0,0.1,0.1,0.01,0.001,0.70638,0.979448,0.590357
1.0,0.1,0.1,0.01,0.0001,0.724654,0.974041,0.564088
1.0,0.1,0.1,0.001,0.1,0.626038,0.970669,0.564411
1.0,0.1,0.1,0.001,0.01,0.705322,0.968077,0.444697
1.0,0.1,0.1,0.001,0.001,0.677826,0.968315,0.441558
1.0,0.1,0.1,0.001,0.0001,0.698869,0.973247,0.574806
1.0,0.1,0.1,0.0001,0.1,0.71167,0.974419,0.590388
1.0,0.1,0.1,0.0001,0.01,0.691583,0.970726,0.549596
1.0,0.1,0.1,0.0001,0.001,0.705754,0.974596,0.582339
1.0,0.1,0.1,0.0001,0.0001,0.663797,0.969211,0.535544
1.0,0.1,1.0,0.01,0.1,0.737693,0.972043,0.55024
1.0,0.1,1.0,0.01,0.01,0.707757,0.978319,0.580167
1.0,0.1,1.0,0.01,0.001,0.660772,0.972876,0.543628
1.0,0.1,1.0,0.01,0.0001,0.699541,0.968847,0.513455
1.0,0.1,1.0,0.001,0.1,0.701412,0.972043,0.577949
1.0,0.1,1.0,0.001,0.01,0.690605,0.978294,0.604386
1.0,0.1,1.0,0.001,0.001,0.705555,0.972149,0.506147
1.0,0.1,1.0,0.001,0.0001,0.68594,0.969697,0.505592
1.0,0.1,1.0,0.0001,0.1,0.659883,0.967893,0.542211
1.0,0.1,1.0,0.0001,0.01,0.703126,0.971324,0.529853
1.0,0.1,1.0,0.0001,0.001,0.741103,0.97722,0.600826
1.0,0.1,1.0,0.0001,0.0001,0.588181,0.957574,0.320422
1.0,0.1,10.0,0.01,0.1,0.649947,0.974582,0.5583
1.0,0.1,10.0,0.01,0.01,0.694069,0.976537,0.566448
1.0,0.1,10.0,0.01,0.001,0.720506,0.976734,0.577869
